match_id,stage,start_time,team1,team2,match_format,game_id,game_number,map_name,score1,score2,roster1,roster2,full_roster1,full_roster2
10532,Preseason,2017-12-08 18:00:00,SEO,HOU,preseason,5845,1,junkertown,3,2,FLETA|KuKi|Wekeed|XepheR|ryujehong|tobi,Bani|Coolmatt|Jake|LiNkzr|Muma|Rawkus,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10532,Preseason,2017-12-08 18:00:00,SEO,HOU,preseason,5850,2,horizon-lunar-colony,1,2,FLETA|Miro|Munchkin|ZUNBA|ryujehong|tobi,Bani|Coolmatt|Jake|LiNkzr|Muma|Rawkus,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10532,Preseason,2017-12-08 18:00:00,SEO,HOU,preseason,5851,3,ilios,2,0,FLETA|KuKi|Munchkin|ZUNBA|ryujehong|tobi,Bani|Clockwork|Mendokusaii|Muma|Rawkus|SPREE,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10532,Preseason,2017-12-08 18:00:00,SEO,HOU,preseason,5852,4,numbani,3,3,FLETA|Miro|Wekeed|ZUNBA|ryujehong|tobi,Bani|Clockwork|Coolmatt|Jake|Muma|Rawkus,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Bani|Boink|Clockwork|Coolmatt|Jake|LiNkzr|Mendokusaii|Muma|Rawkus|SPREE
10533,Preseason,2017-12-08 19:35:00,SHD,BOS,preseason,5846,1,junkertown,2,3,Diya|Fiveking|Freefeel|Roshan|Undead|Xushu,DreamKazper|Gamsu|Neko|NotE|STRIKER|Snow,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10533,Preseason,2017-12-08 19:35:00,SHD,BOS,preseason,5853,2,horizon-lunar-colony,2,0,Diya|Fiveking|Freefeel|Roshan|Undead|Xushu,DreamKazper|Gamsu|Neko|NotE|STRIKER|Snow,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10533,Preseason,2017-12-08 19:35:00,SHD,BOS,preseason,5854,3,ilios,2,1,Altering|Diya|Freefeel|MG|Roshan|Undead,Avast|DreamKazper|Gamsu|Kalios|Mistakes|Neko,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10533,Preseason,2017-12-08 19:35:00,SHD,BOS,preseason,5855,4,numbani,0,1,Altering|Diya|Freefeel|MG|Roshan|Undead,Avast|DreamKazper|Gamsu|Kalios|STRIKER|Snow,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10533,Preseason,2017-12-08 19:35:00,SHD,BOS,preseason,5868,5,lijiang,1,2,Altering|Diya|Freefeel|MG|Roshan|Undead,DreamKazper|Gamsu|Kalios|Kellex|Neko|STRIKER,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu,Avast|DreamKazper|Gamsu|Kalios|Kellex|Mistakes|Neko|NotE|STRIKER|Snow
10534,Preseason,2017-12-09 11:00:00,VAL,GLA,preseason,5856,1,dorado,2,0,Envy|Fate|Kariv|Soon|Unkoe|silkthread,Asher|BigGoose|Hydration|Shaz|Surefour|iRemiix,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10534,Preseason,2017-12-09 11:00:00,VAL,GLA,preseason,5857,2,temple-of-anubis,2,0,Envy|Fate|Kariv|Soon|Unkoe|silkthread,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10534,Preseason,2017-12-09 11:00:00,VAL,GLA,preseason,5858,3,oasis,0,2,Envy|Fate|Grimreality|Kariv|Verbo|silkthread,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10534,Preseason,2017-12-09 11:00:00,VAL,GLA,preseason,5859,4,eichenwalde,2,1,Envy|Kariv|Numlocked|Soon|Unkoe|silkthread,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix
10535,Preseason,2017-12-09 13:00:00,FLA,DAL,preseason,5860,1,junkertown,3,0,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|Custa|EFFECT|HarryHook|Mickie|cocco,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc
10535,Preseason,2017-12-09 13:00:00,FLA,DAL,preseason,5861,2,horizon-lunar-colony,1,2,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|EFFECT|HarryHook|Mickie|Seagull|xQc,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc
10535,Preseason,2017-12-09 13:00:00,FLA,DAL,preseason,5862,3,ilios,1,2,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|Custa|EFFECT|Mickie|Taimou|xQc,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc
10535,Preseason,2017-12-09 13:00:00,FLA,DAL,preseason,5863,4,numbani,0,1,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|Custa|EFFECT|Mickie|Taimou|xQc,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,Chipshajen|Custa|EFFECT|HarryHook|Mickie|Seagull|Taimou|cocco|xQc
10536,Preseason,2017-12-09 14:15:00,SEO,NYE,preseason,5864,1,junkertown,2,3,FLETA|KuKi|Wekeed|ZUNBA|ryujehong|tobi,Ark|Libero|Mano|Meko|Pine|Saebyeolbe,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe
10536,Preseason,2017-12-09 14:15:00,SEO,NYE,preseason,5865,2,horizon-lunar-colony,2,1,FLETA|KuKi|Munchkin|ZUNBA|ryujehong|tobi,Ark|Janus|Libero|Meko|Pine|Saebyeolbe,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe
10536,Preseason,2017-12-09 14:15:00,SEO,NYE,preseason,5866,3,ilios,2,1,FLETA|KuKi|Munchkin|ZUNBA|ryujehong|tobi,Ark|Janus|Libero|Meko|Pine|Saebyeolbe,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe
10536,Preseason,2017-12-09 14:15:00,SEO,NYE,preseason,5867,4,numbani,3,0,Bunny|FLETA|Miro|ZUNBA|ryujehong|tobi,Ark|Libero|Mano|Meko|Pine|Saebyeolbe,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Ark|Janus|Libero|Mano|Meko|Pine|Saebyeolbe
